"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.591834526E2,6.505946845E1,2.546629916E1,2.339316685E1,8.949252850E-1,2.072003540E2,6.306865563E0,3.814391763E0
1.601833118E2,6.505946500E1,2.546630822E1,2.308615655E1,8.438955047E-1,2.014955323E2,6.431558817E0,3.860241838E0
1.611831776E2,6.505946415E1,2.546630497E1,2.360622972E1,6.977393508E-1,2.020077662E2,6.693432854E0,3.750627140E0
1.621830519E2,6.505946006E1,2.546630075E1,2.330822204E1,6.293328645E-1,2.006193750E2,6.866200487E0,3.677033275E0
1.631829337E2,6.505946024E1,2.546630278E1,2.344827752E1,4.637828019E-1,2.008012286E2,7.270884083E0,3.645355507E0
1.641828244E2,6.505945175E1,2.546630387E1,2.359222074E1,6.022261292E-1,2.008012297E2,7.174702276E0,3.232640146E0
1.651827208E2,6.505942885E1,2.546630494E1,2.316918212E1,9.916591594E-1,1.983348353E2,7.043336139E0,3.105522100E0
1.661826233E2,6.505939735E1,2.546632226E1,2.297876461E1,1.347894738E0,1.850185940E2,6.978811730E0,3.354935814E0
1.671825314E2,6.505937601E1,2.546632090E1,2.299008839E1,1.627493109E0,1.856523777E2,7.296358909E0,3.612481936E0
1.681824453E2,6.505935521E1,2.546632083E1,2.295263017E1,1.724209464E0,1.837120497E2,7.363165962E0,3.560887035E0
1.691823628E2,6.505933307E1,2.546634290E1,2.263142076E1,1.834662307E0,1.750488199E2,7.457726551E0,3.415546560E0
1.701822872E2,6.505932998E1,2.546635568E1,2.244658393E1,1.630041475E0,1.711246549E2,7.580243275E0,3.268189901E0
1.711822164E2,6.505935623E1,2.546633423E1,2.171782957E1,8.560972046E-1,1.763871922E2,7.538108026E0,4.165711777E0
1.721821491E2,6.505934308E1,2.546632346E1,2.097093640E1,9.139787338E-1,1.781517672E2,7.522574650E0,4.582578196E0
1.731820843E2,6.505933405E1,2.546633466E1,2.082175935E1,8.489862764E-1,1.760548005E2,7.427663616E0,4.492098333E0
1.741820252E2,6.505931982E1,2.546634028E1,2.109158498E1,8.596150471E-1,1.779922855E2,7.239893789E0,4.224551666E0
1.751819692E2,6.505931888E1,2.546635705E1,2.024655051E1,7.787564415E-1,1.730978051E2,7.119052391E0,4.832655369E0
1.761819153E2,6.505930894E1,2.546636364E1,2.026901637E1,8.215701929E-1,1.730651889E2,7.026377751E0,5.075997741E0
1.771818651E2,6.505931329E1,2.546637488E1,2.010565403E1,7.269548877E-1,1.672480517E2,7.319337018E0,5.264570559E0
1.781818180E2,6.505930240E1,2.546636486E1,2.021922278E1,7.318053418E-1,1.751939056E2,7.329913562E0,5.333180774E0
1.791817733E2,6.505930008E1,2.546635237E1,1.952592343E1,5.889641543E-1,1.823108888E2,7.192728339E0,5.209401317E0
1.801817323E2,6.505927363E1,2.546636308E1,1.895925894E1,1.017143365E0,1.786887955E2,7.083307745E0,5.790413569E0
1.811816914E2,6.505926529E1,2.546636303E1,1.884282006E1,1.051359290E0,1.804394487E2,7.128554128E0,5.899666786E0
1.821816554E2,6.505924868E1,2.546635999E1,1.745321857E1,1.128190181E0,1.810209430E2,7.119733895E0,5.943301652E0
1.831816206E2,6.505923570E1,2.546635414E1,1.715038091E1,1.097722704E0,1.818426399E2,7.083698154E0,5.665550928E0
1.841815878E2,6.505921360E1,2.546636249E1,1.748857255E1,1.296993856E0,1.773104843E2,7.016262405E0,5.338642750E0
1.851815561E2,6.505921091E1,2.546635343E1,1.662620960E1,8.534930007E-1,1.784283462E2,6.830087173E0,4.924420476E0
1.861815271E2,6.505920632E1,2.546633501E1,1.670028099E1,5.783205144E-1,1.866098522E2,6.764626315E0,4.901072928E0
1.871814983E2,6.505920347E1,2.546633827E1,1.674024575E1,4.140867662E-1,1.868055063E2,6.715194364E0,4.762645421E0
1.881814725E2,6.505919526E1,2.546634426E1,1.656631303E1,4.679705091E-1,1.868055119E2,6.606764624E0,4.293844852E0
1.891814471E2,6.505917172E1,2.546634200E1,1.650000877E1,1.193987018E0,1.816076095E2,6.565949179E0,4.459955033E0
