"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.279928000E0,7.248690918E-1,2.591731560E-1,-4.646723807E-1
3.289914000E0,7.607783049E-1,3.290663865E-1,-3.271803671E-1
3.299900000E0,6.950599864E-1,4.000173783E-1,-9.704974651E-2
3.309887000E0,4.820371494E-1,4.108455446E-1,7.854389369E-2
3.319873000E0,2.690950039E-1,3.515638411E-1,3.335158253E-1
3.329859000E0,4.885377914E-2,2.753500628E-1,6.985516512E-1
3.339845000E0,-1.763584560E-1,1.953873423E-1,9.453643781E-1
3.349831000E0,-3.175745612E-1,1.083848664E-1,1.046453966E0
3.359817000E0,-4.396986303E-1,4.123690367E-2,1.086941841E0
3.369803000E0,-5.840672618E-1,-3.140305638E-2,1.125273263E0
3.379789000E0,-6.733904976E-1,-1.313632545E-1,1.235114379E0
3.389775000E0,-7.272190878E-1,-2.554607588E-1,1.347593758E0
3.399761000E0,-8.347055295E-1,-3.282755506E-1,1.350613260E0
3.409747000E0,-9.826523647E-1,-3.476663795E-1,1.219359056E0
3.419733000E0,-1.011508374E0,-3.090162840E-1,9.624002409E-1
3.429720000E0,-9.452988893E-1,-1.934197542E-1,8.163835716E-1
3.439706000E0,-8.499726096E-1,-4.609301627E-2,7.961685777E-1
3.449692000E0,-7.199714640E-1,8.335878342E-2,8.100650704E-1
3.459678000E0,-3.935073808E-1,1.708299136E-1,9.362052995E-1
3.469664000E0,-7.911575139E-3,3.164869791E-1,1.077575186E0
3.479650000E0,2.395576479E-1,4.508147720E-1,1.000925791E0
3.489636000E0,4.052478589E-1,5.193985185E-1,8.443180597E-1
3.499622000E0,4.581695460E-1,5.346530271E-1,6.739506608E-1
3.509608000E0,5.236837967E-1,4.749628955E-1,4.590929675E-1
3.519594000E0,6.224554020E-1,4.540123218E-1,1.623298162E-1
3.529580000E0,6.237507065E-1,4.891836163E-1,-6.743593812E-2
3.539566000E0,6.554841305E-1,4.813460085E-1,-1.108556074E-1
3.549552000E0,7.061793441E-1,3.694007725E-1,1.549102843E-1
3.559538000E0,6.554022695E-1,2.131810042E-1,5.476975805E-1
3.569525000E0,5.842629974E-1,2.923987895E-2,9.120574683E-1
3.579511000E0,6.382594027E-1,-2.629758927E-1,1.264130017E0
3.589497000E0,7.325260207E-1,-5.945568743E-1,1.587683356E0
3.599483000E0,8.289020218E-1,-8.439932469E-1,1.809313295E0
3.609469000E0,9.222044340E-1,-1.046384969E0,1.834704829E0
3.619455000E0,9.744561763E-1,-1.274635125E0,1.573632497E0
3.629441000E0,9.791795571E-1,-1.459212427E0,1.223356798E0
3.639427000E0,9.660845715E-1,-1.553708110E0,7.887285805E-1
3.649413000E0,1.053766494E0,-1.670907069E0,2.922034925E-1
3.659399000E0,1.076152705E0,-1.729985582E0,-1.855543721E-1
3.669385000E0,1.028825634E0,-1.729067861E0,-5.169540900E-1
3.679371000E0,9.648255198E-1,-1.678567506E0,-7.782936394E-1
3.689357000E0,1.001020516E0,-1.631484556E0,-8.755562246E-1
3.699344000E0,1.064179946E0,-1.608837706E0,-7.083510000E-1
3.709330000E0,1.211370298E0,-1.579828207E0,-3.695954847E-1
3.719316000E0,1.421991684E0,-1.483875690E0,-3.071776271E-2
3.729302000E0,1.599813259E0,-1.424707423E0,2.667757058E-1
3.739288000E0,1.785229637E0,-1.345682011E0,4.298855406E-1
3.749274000E0,1.773039508E0,-1.163437455E0,5.444395119E-1
3.759260000E0,1.661390872E0,-9.842007074E-1,4.377599859E-1
3.769246000E0,1.516003071E0,-8.497960237E-1,2.130514884E-1
3.779232000E0,1.294077848E0,-6.761448285E-1,3.734265804E-2
3.789218000E0,1.194694916E0,-5.134276342E-1,3.186147809E-3
3.799204000E0,1.139204109E0,-3.590096855E-1,4.273963809E-2
3.809190000E0,1.100773430E0,-2.132190111E-1,7.991915882E-2
3.819177000E0,1.075548834E0,-1.254435334E-1,1.493057281E-1
3.829163000E0,1.034551958E0,-9.430974126E-2,3.611585373E-1
3.839149000E0,9.982384104E-1,-3.426731497E-2,4.801786119E-1
3.849135000E0,1.041078182E0,6.355426401E-2,4.385511142E-1
3.859121000E0,1.190375139E0,1.950271538E-1,3.300414097E-1
